	BioProject	Sample	Read1_before	Read1_after	Read2_before	Read2_after	Adapter_trimmed	Kraken_total	Classified_reads	Classified_%	Unclassified_reads	Unclassified_%	File
1817	PRJEB72524		11706479	11194788	11706479	11194788	512090	22389576	19311240	86.25	3078336	13.75	694103_143_PRJEB72524_ERR14205046.err
1818	PRJNA1237248	SRR32733080	44695759	44675267			0	44675267	39708279	88.88	4966988	11.12	234325_432_PRJNA1237248_SRR32733080.err
1820	PRJEB72526		14537762	14277861	14537762	14277861	356878	28555722	26059103	91.26	2496619	8.74	234324_36_PRJEB72526_ERR14225623.err
1821	PRJNA1237248	SRR32733617	60038533	60011276			0	60011276	55090998	91.80	4920278	8.20	234325_131_PRJNA1237248_SRR32733617.err
1822	PRJNA731589	SRR14610702	45029857	44344641	45029857	44344641	115382	88689282	77884127	87.82	10805155	12.18	693420_79_PRJNA731589_SRR14610702.err
1825	PRJNA731589	SRR14610642	40170918	39552592	40170918	39552592	102820	79105184	71435154	90.30	7670030	9.70	693420_137_PRJNA731589_SRR14610642.err
1826	PRJNA763023	SRR16124273	40810164	40009509	40810164	40009509	3173838	80019018	71331582	89.14	8687436	10.86	693415_188_PRJNA763023_SRR16124273.err
1827	PRJEB72524		38462384	36417914	38462384	36417914	1744530	72835828	64495765	88.55	8340063	11.45	694103_41_PRJEB72524_ERR14205097.err
1828	PRJNA731589	SRR14610704	42065068	41391936	42065068	41391936	64620	82783872	73312462	88.56	9471410	11.44	693420_18_PRJNA731589_SRR14610704.err
1829	PRJNA1237248	SRR32733574	45729719	45714484			0	45714484	40390571	88.35	5323913	11.65	234325_846_PRJNA1237248_SRR32733574.err
1830	PRJNA447983	SRR6915190	45669882	44880662	45669882	44880662	211446	89761324	78220937	87.14	11540387	12.86	693749_20_PRJNA447983_SRR6915190.err
1831	PRJEB72524		10925636	10416694	10925636	10416694	482870	20833388	17855893	85.71	2977495	14.29	694103_125_PRJEB72524_ERR14205128.err
1832	PRJNA731589	SRR14610657	28564035	28039957	28564035	28039957	127474	56079914	47652937	84.97	8426977	15.03	693420_3_PRJNA731589_SRR14610657.err
1833	PRJNA731589	SRR14610709	29004417	28584125	29004417	28584125	156648	57168250	50948165	89.12	6220085	10.88	693420_93_PRJNA731589_SRR14610709.err
1834	PRJNA1237248	SRR32733650	43601196	43584301			0	43584301	36771558	84.37	6812743	15.63	234325_635_PRJNA1237248_SRR32733650.err
1835	PRJNA1167935	SRR30861130	31671146	30103497	31671146	30103497	19442	60206994	49716131	82.58	10490863	17.42	234217_24_PRJNA1167935_SRR30861130.err
1836	PRJNA447983	SRR6915189	37705805	36973150	37705805	36973150	66064	73946300	66842293	90.39	7104007	9.61	693749_2_PRJNA447983_SRR6915189.err
1837	PRJNA1237248	SRR32732930	40053690	40033539			0	40033539	35960071	89.82	4073468	10.18	234325_376_PRJNA1237248_SRR32732930.err
1838	PRJNA1237248	SRR32733368	58231670	58205002			0	58205002	51608278	88.67	6596724	11.33	234325_832_PRJNA1237248_SRR32733368.err
1839	PRJEB72524		16571301	15736046	16571301	15736046	767998	31472092	26942064	85.61	4530028	14.39	694103_97_PRJEB72524_ERR14204967.err
1840	PRJEB72523		8102027	7849514	8102027	7849514	22238	15699028	14005485	89.21	1693543	10.79	234221_1_PRJEB72523_ERR14129574.err
1842	PRJNA731589	SRR14610684	30161857	29821722	30161857	29821722	338927	59643444	53357382	89.46	6286062	10.54	693420_27_PRJNA731589_SRR14610684.err
1843	PRJEB72524		20691465	19789933	20691465	19789933	879938	39579866	34761667	87.83	4818199	12.17	694103_103_PRJEB72524_ERR14205118.err
1844	PRJNA1237248	SRR32732998	40397562	40381164			0	40381164	36727394	90.95	3653770	9.05	234325_263_PRJNA1237248_SRR32732998.err
1845	PRJNA731589	SRR14610680	26128708	25824194	26128708	25824194	144242	51648388	46174522	89.40	5473866	10.60	693420_37_PRJNA731589_SRR14610680.err
1849	PRJNA731589	SRR14610664	39923207	39075306	39923207	39075306	1684932	78150612	68752316	87.97	9398296	12.03	693420_142_PRJNA731589_SRR14610664.err
1850	PRJNA1237248	SRR32732836	54017334	53993226			0	53993226	47915411	88.74	6077815	11.26	234325_372_PRJNA1237248_SRR32732836.err
1851	PRJEB72523		5669439	5491851	5669439	5491851	13628	10983702	9677611	88.11	1306091	11.89	234221_53_PRJEB72523_ERR14129559.err
1852	PRJNA763023	SRR16124184	37836089	37263856	37836089	37263856	2455038	74527712	66193447	88.82	8334265	11.18	693415_12_PRJNA763023_SRR16124184.err
1853	PRJNA1237248	SRR32733003	44732563	44716902			0	44716902	40129914	89.74	4586988	10.26	234325_506_PRJNA1237248_SRR32733003.err
1854	PRJNA1167935	SRR30861135	39798667	37627431	39798667	37627431	17052	75254862	67571632	89.79	7683230	10.21	234217_22_PRJNA1167935_SRR30861135.err
1855	PRJNA731589	SRR14610710	37979425	37410317	37979425	37410317	365513	74820634	68822939	91.98	5997695	8.02	693420_56_PRJNA731589_SRR14610710.err
1856	PRJNA1237248	SRR32733142	28386522	28376552			0	28376552	25768842	90.81	2607710	9.19	234325_791_PRJNA1237248_SRR32733142.err
1857	PRJEB72523		35085425	33678376	35085425	33678376	12736	67356752	60992250	90.55	6364502	9.45	234221_60_PRJEB72523_ERR14141104.err
1858	PRJNA1237248	SRR32732809	38340719	38324644			0	38324644	34149636	89.11	4175008	10.89	234325_698_PRJNA1237248_SRR32732809.err
1859	PRJEB72523		46357173	44737575	46357173	44737575	111394	89475150	78691582	87.95	10783568	12.05	234221_21_PRJEB72523_ERR14749805.err
1860	PRJNA1237248	SRR32733209	55936452	55913932			0	55913932	50245045	89.86	5668887	10.14	234325_273_PRJNA1237248_SRR32733209.err
1861	PRJNA1237248	SRR32733676	37451229	37440289			0	37440289	33619114	89.79	3821175	10.21	234325_113_PRJNA1237248_SRR32733676.err
1862	PRJNA1237248	SRR32733700	54114202	54089173			0	54089173	48273052	89.25	5816121	10.75	234325_480_PRJNA1237248_SRR32733700.err
1863	PRJEB72523		18593826	17700117	18593826	17700117	12736	35400234	33025593	93.29	2374641	6.71	234221_12_PRJEB72523_ERR14137411.err
1865	PRJEB59350		17384256	13502547	17384256	13502547	14468	27005094	24340269	90.13	2664825	9.87	234322_49_PRJEB59350_ERR10838090.err
1868	PRJEB72525		16524658	15728410	16524658	15728410	5570	31456820	27949499	88.85	3507321	11.15	232906_61_PRJEB72525_ERR14205382.err
1870	PRJNA447983	SRR6915217	10767117	10505978	10767117	10505978	17404	21011956	18349233	87.33	2662723	12.67	693749_88_PRJNA447983_SRR6915217.err
1871	PRJNA1237248	SRR32733472	42527872	42511155			0	42511155	35506886	83.52	7004269	16.48	234325_486_PRJNA1237248_SRR32733472.err
1872	PRJNA429097	SRR6456358	21646850	19014904	21646850	19014904	63608	38029808	34703794	91.25	3326014	8.75	693416_73_PRJNA429097_SRR6456358.err
1873	PRJNA1237248	SRR32733060	34048031	34035153			0	34035153	30479190	89.55	3555963	10.45	234325_358_PRJNA1237248_SRR32733060.err
1874	PRJNA1237248	SRR32733438	39852436	39833230			0	39833230	35783582	89.83	4049648	10.17	234325_281_PRJNA1237248_SRR32733438.err
1875	PRJNA429097	SRR6456212	18893754	17601215	18893754	17601215	131088	35202430	29306137	83.25	5896293	16.75	693416_135_PRJNA429097_SRR6456212.err
1876	PRJNA1237248	SRR32732988	45201181	45183416			0	45183416	39640662	87.73	5542754	12.27	234325_288_PRJNA1237248_SRR32732988.err
1877	PRJNA763023	SRR16124194	38241235	37633605	38241235	37633605	2370748	75267210	69084541	91.79	6182669	8.21	693415_52_PRJNA763023_SRR16124194.err
1878	PRJNA1237248	SRR32733171	41083218	41067649			0	41067649	36848826	89.73	4218823	10.27	234325_168_PRJNA1237248_SRR32733171.err
1879	PRJNA1167935	SRR30861112	23101417	22027671	23101417	22027671	112630	44055342	28771046	65.31	15284296	34.69	234217_35_PRJNA1167935_SRR30861112.err
1880	PRJNA429097	SRR6451258	20325510	18870192	20325510	18870192	47696	37740384	28445881	75.37	9294503	24.63	693416_125_PRJNA429097_SRR6451258.err
1881	PRJEB72524		20722639	19712776	20722639	19712776	864142	39425552	34768704	88.19	4656848	11.81	694103_49_PRJEB72524_ERR14205021.err
1883	PRJNA763023	SRR16124302	32108239	31141878	32108239	31141878	2476766	62283756	55378576	88.91	6905180	11.09	693415_101_PRJNA763023_SRR16124302.err
1884	PRJNA763023	SRR16124240	36336006	35663737	36336006	35663737	859026	71327474	64751097	90.78	6576377	9.22	693415_185_PRJNA763023_SRR16124240.err
1885	PRJNA1237248	SRR32733470	54069791	54046783			0	54046783	48423293	89.60	5623490	10.40	234325_120_PRJNA1237248_SRR32733470.err
1888	PRJNA1237248	SRR32733045	53791497	53771658			0	53771658	47667711	88.65	6103947	11.35	234325_622_PRJNA1237248_SRR32733045.err
1889	PRJNA731589	SRR14610636	33286391	32864600	33286391	32864600	201066	65729200	58643825	89.22	7085375	10.78	693420_50_PRJNA731589_SRR14610636.err
1890	PRJNA731589	SRR14610585	35026936	34530490	35026936	34530490	517171	69060980	60276672	87.28	8784308	12.72	693420_16_PRJNA731589_SRR14610585.err
1891	PRJNA429097	SRR6456202	18827790	16430033	18827790	16430033	68718	32860066	24618056	74.92	8242010	25.08	693416_182_PRJNA429097_SRR6456202.err
1892	PRJNA1237248	SRR32733049	19636203	19624490			0	19624490	17200905	87.65	2423585	12.35	234325_240_PRJNA1237248_SRR32733049.err
1893	PRJEB59350		24995990	22878938	24995990	22878938	30046	45757876	39826833	87.04	5931043	12.96	234322_114_PRJEB59350_ERR10824345.err
1895	PRJEB72523		7702036	7414258	7702036	7414258	1646	14828516	13263176	89.44	1565340	10.56	234221_108_PRJEB72523_ERR14129570.err
1896	PRJNA1237248	SRR32733659	42579860	42562921			0	42562921	37177055	87.35	5385866	12.65	234325_51_PRJNA1237248_SRR32733659.err
1897	PRJNA1237248	SRR32733694	44111491	44094237			0	44094237	39069702	88.61	5024535	11.39	234325_28_PRJNA1237248_SRR32733694.err
1898	PRJNA731589	SRR14610592	49102109	48269959	49102109	48269959	196526	96539918	88172875	91.33	8367043	8.67	693420_106_PRJNA731589_SRR14610592.err
1899	PRJNA731589	SRR14610711	27771042	27370310	27771042	27370310	341771	54740620	48274772	88.19	6465848	11.81	693420_35_PRJNA731589_SRR14610711.err
1900	PRJEB72524		37515542	35786290	37515542	35786290	1618660	71572580	62420233	87.21	9152347	12.79	694103_195_PRJEB72524_ERR14205016.err
1901	PRJEB72524		27279736	25824661	27279736	25824661	1184612	51649322	44809556	86.76	6839766	13.24	694103_119_PRJEB72524_ERR14205113.err
1902	PRJNA1237248	SRR32733373	29406228	29397196			0	29397196	25766528	87.65	3630668	12.35	234325_520_PRJNA1237248_SRR32733373.err
1903	PRJNA763023	SRR16124303	42715125	42247736	42715125	42247736	2929794	84495472	75900640	89.83	8594832	10.17	693415_176_PRJNA763023_SRR16124303.err
1905	PRJNA731589	SRR14610638	40193333	39589543	40193333	39589543	223004	79179086	71559793	90.38	7619293	9.62	693420_4_PRJNA731589_SRR14610638.err
1906	PRJNA447983	SRR6915167	11297070	11043560	11297070	11043560	25016	22087120	19495251	88.27	2591869	11.73	693749_111_PRJNA447983_SRR6915167.err
1907	PRJNA1237248	SRR32733428	54260157	54238333			0	54238333	48588329	89.58	5650004	10.42	234325_85_PRJNA1237248_SRR32733428.err
1908	PRJNA731589	SRR14610653	44279750	43544673	44279750	43544673	155410	87089346	79468990	91.25	7620356	8.75	693420_58_PRJNA731589_SRR14610653.err
1909	PRJNA1237248	SRR32733107	47717453	47697000			0	47697000	41374392	86.74	6322608	13.26	234325_629_PRJNA1237248_SRR32733107.err
1910	PRJNA1237248	SRR32733602	43595102	43580984			0	43580984	38704571	88.81	4876413	11.19	234325_271_PRJNA1237248_SRR32733602.err
1911	PRJNA1237248	SRR32733222	47519056	47500266			0	47500266	42932455	90.38	4567811	9.62	234325_275_PRJNA1237248_SRR32733222.err
1912	PRJNA1237248	SRR32732804	32387272	32374209			0	32374209	28379486	87.66	3994723	12.34	234325_631_PRJNA1237248_SRR32732804.err
1913	PRJNA429097	SRR6456156	21431017	20110813	21431017	20110813	15956	40221626	35767765	88.93	4453861	11.07	693416_113_PRJNA429097_SRR6456156.err
1914	PRJNA1237248	SRR32733581	52229334	52208248			0	52208248	46610445	89.28	5597803	10.72	234325_818_PRJNA1237248_SRR32733581.err
1915	PRJNA731589	SRR14610663	45287628	44762640	45287628	44762640	195040	89525280	77170596	86.20	12354684	13.80	693420_119_PRJNA731589_SRR14610663.err
1916	PRJNA1237248	SRR32733380	42564117	42545296			0	42545296	37696789	88.60	4848507	11.40	234325_218_PRJNA1237248_SRR32733380.err
1917	PRJEB72526		15827922	14641311	15827922	14641311	54644	29282622	27509769	93.95	1772853	6.05	234324_1_PRJEB72526_ERR14218880.err
1918	PRJNA447983	SRR6915124	15106313	14712179	15106313	14712179	75766	29424358	25630002	87.10	3794356	12.90	693749_79_PRJNA447983_SRR6915124.err
1921	PRJNA731589	SRR14610634	32579499	32150049	32579499	32150049	186110	64300098	59349333	92.30	4950765	7.70	693420_32_PRJNA731589_SRR14610634.err
1922	PRJNA1237248	SRR32733388	61710552	61684183			0	61684183	55346624	89.73	6337559	10.27	234325_236_PRJNA1237248_SRR32733388.err
1923	PRJNA1237248	SRR32733589	48615100	48597799			0	48597799	43817045	90.16	4780754	9.84	234325_99_PRJNA1237248_SRR32733589.err
1926	PRJNA731589	SRR14610600	34725582	34198958	34725582	34198958	99586	68397916	60036884	87.78	8361032	12.22	693420_89_PRJNA731589_SRR14610600.err
1927	PRJEB59350		27766389	23158220	27766389	23158220	17478	46316440	40570979	87.60	5745461	12.40	234322_85_PRJEB59350_ERR10819069.err
1930	PRJEB72525		9628026	5953465	9628026	5953465	383198	11906930	10312134	86.61	1594796	13.39	232906_45_PRJEB72525_ERR14207015.err
1932	PRJNA531273	SRR8865594	4033820	3834180	4033820	3834180	27124	7668360	5048958	65.84	2619402	34.16	693418_20_PRJNA531273_SRR8865594.err
1935	PRJNA1237248	SRR32733515	48868078	48849805			0	48849805	44178299	90.44	4671506	9.56	234325_581_PRJNA1237248_SRR32733515.err
1937	PRJEB59350		18715680	14682376	18715680	14682376	28338	29364752	26369375	89.80	2995377	10.20	234322_63_PRJEB59350_ERR10828777.err
1938	PRJNA763023	SRR16124186	34867455	34374443	34867455	34374443	2440292	68748886	62832112	91.39	5916774	8.61	693415_20_PRJNA763023_SRR16124186.err
1939	PRJEB72524		12131024	11538716	12131024	11538716	528782	23077432	20328451	88.09	2748981	11.91	694103_187_PRJEB72524_ERR14205070.err
1940	PRJEB72523		11821026	11413813	11821026	11413813	7930	22827626	19688940	86.25	3138686	13.75	234221_29_PRJEB72523_ERR14134507.err
1943	PRJEB72526		17804839	17351386	17804839	17351386	83890	34702772	31917241	91.97	2785531	8.03	234324_23_PRJEB72526_ERR14225628.err
1944	PRJNA429097	SRR6456203	19313930	17264808	19313930	17264808	24242	34529616	30134632	87.27	4394984	12.73	693416_45_PRJNA429097_SRR6456203.err
1945	PRJEB72526		14272416	13258590	14272416	13258590	45786	26517180	23986171	90.46	2531009	9.54	234324_20_PRJEB72526_ERR14218621.err
1946	PRJNA763023	SRR16124242	34212018	33772983	34212018	33772983	2374058	67545966	60938271	90.22	6607695	9.78	693415_110_PRJNA763023_SRR16124242.err
1949	PRJEB72523		53051624	50407413	53051624	50407413	25120	100814826	89632632	88.91	11182194	11.09	234221_146_PRJEB72523_ERR14141119.err
1950	PRJNA429097	SRR6456365	23140456	20895922	23140456	20895922	114908	41791844	37063208	88.69	4728636	11.31	693416_144_PRJNA429097_SRR6456365.err
1951	PRJNA1237248	SRR32733568	48016933	47999803			0	47999803	42478441	88.50	5521362	11.50	234325_843_PRJNA1237248_SRR32733568.err
1954	PRJNA1237248	SRR32733278	41381685	41362463			0	41362463	36257418	87.66	5105045	12.34	234325_760_PRJNA1237248_SRR32733278.err
1955	PRJNA1237248	SRR32733157	34266199	34253685			0	34253685	30080859	87.82	4172826	12.18	234325_310_PRJNA1237248_SRR32733157.err
1958	PRJEB72525		14585269	8500892	14585269	8500892	531882	17001784	14756667	86.79	2245117	13.21	232906_49_PRJEB72525_ERR14205385.err
1960	PRJNA763023	SRR16124204	34407332	33241484	34407332	33241484	2658200	66482968	58657805	88.23	7825163	11.77	693415_61_PRJNA763023_SRR16124204.err
1961	PRJNA1237248	SRR32732935	40685969	40670687			0	40670687	36946249	90.84	3724438	9.16	234325_182_PRJNA1237248_SRR32732935.err
1962	PRJNA763023	SRR16124306	32195806	31266769	32195806	31266769	2362240	62533538	56939552	91.05	5593986	8.95	693415_183_PRJNA763023_SRR16124306.err
1963	PRJNA1237248	SRR32732871	49884562	49865675			0	49865675	44046452	88.33	5819223	11.67	234325_786_PRJNA1237248_SRR32732871.err
1966	PRJEB72525		7550988	7222246	7550988	7222246	3650	14444492	11837912	81.95	2606580	18.05	232906_9_PRJEB72525_ERR14205987.err
1967	PRJNA1237248	SRR32732915	36685811	36671157			0	36671157	31492378	85.88	5178779	14.12	234325_538_PRJNA1237248_SRR32732915.err
1968	PRJNA763023	SRR16124350	35019900	34263798	35019900	34263798	1640512	68527596	61836108	90.24	6691488	9.76	693415_148_PRJNA763023_SRR16124350.err
1970	PRJNA731589	SRR14610584	38466245	37845909	38466245	37845909	518721	75691818	66010184	87.21	9681634	12.79	693420_162_PRJNA731589_SRR14610584.err
1973	PRJNA1237248	SRR32732859	37538208	37523872			0	37523872	33887453	90.31	3636419	9.69	234325_788_PRJNA1237248_SRR32732859.err
1974	PRJNA1237248	SRR32733538	25541513	25531556			0	25531556	22814549	89.36	2717007	10.64	234325_475_PRJNA1237248_SRR32733538.err
1977	PRJNA531273	SRR8865588	2332552	2178953	2332552	2178953	14784	4357906	4115057	94.43	242849	5.57	693418_26_PRJNA531273_SRR8865588.err
1978	PRJNA763023	SRR16124314	40221100	39369651	40221100	39369651	2806094	78739302	73293289	93.08	5446013	6.92	693415_54_PRJNA763023_SRR16124314.err
1979	PRJNA1167935	SRR30861093	59537190	56731214	59537190	56731214	22102	113462428	100410713	88.50	13051715	11.50	234217_8_PRJNA1167935_SRR30861093.err
1981	PRJNA763023	SRR16124200	36197274	35516446	36197274	35516446	2816304	71032892	64390327	90.65	6642565	9.35	693415_4_PRJNA763023_SRR16124200.err
1982	PRJNA1237248	SRR32733321	36382503	36367397			0	36367397	32803467	90.20	3563930	9.80	234325_503_PRJNA1237248_SRR32733321.err
1983	PRJEB72525		11024653	6365081	11024653	6365081	432140	12730162	11069418	86.95	1660744	13.05	232906_56_PRJEB72525_ERR14205392.err
1984	PRJNA1237248	SRR32733167	47072207	47053865			0	47053865	41772972	88.78	5280893	11.22	234325_338_PRJNA1237248_SRR32733167.err
1986	PRJNA1237248	SRR32732880	37911637	37894195			0	37894195	33395868	88.13	4498327	11.87	234325_31_PRJNA1237248_SRR32732880.err
1987	PRJNA763023	SRR16124344	33224727	32427575	33224727	32427575	1447018	64855150	56620331	87.30	8234819	12.70	693415_19_PRJNA763023_SRR16124344.err
1990	PRJNA1237248	SRR32733682	36650597	36633426			0	36633426	33017330	90.13	3616096	9.87	234325_495_PRJNA1237248_SRR32733682.err
1991	PRJEB59350		46371434	36462922	46371434	36462922	50972	72925844	62988780	86.37	9937064	13.63	234322_86_PRJEB59350_ERR10823092.err
1992	PRJEB72526		8551542	7759291	8551542	7759291	20304	15518582	13021292	83.91	2497290	16.09	234324_7_PRJEB72526_ERR14218626.err
1993	PRJNA1237248	SRR32733264	51216859	51198727			0	51198727	44511925	86.94	6686802	13.06	234325_620_PRJNA1237248_SRR32733264.err
1994	PRJNA1237248	SRR32732827	36029113	36016406			0	36016406	31858016	88.45	4158390	11.55	234325_232_PRJNA1237248_SRR32732827.err
1995	PRJEB72523		9719239	9404902	9719239	9404902	21554	18809804	16709382	88.83	2100422	11.17	234221_0_PRJEB72523_ERR14129695.err
1997	PRJNA1237248	SRR32732883	38537316	38522653			0	38522653	33108154	85.94	5414499	14.06	234325_579_PRJNA1237248_SRR32732883.err
1999	PRJNA1237248	SRR32733430	51054964	51032691			0	51032691	40726642	79.81	10306049	20.19	234325_607_PRJNA1237248_SRR32733430.err
2001	PRJEB72524		11944782	11418735	11944782	11418735	517922	22837470	20655739	90.45	2181731	9.55	694103_46_PRJEB72524_ERR14205131.err
2002	PRJEB72524		4477657	4266176	4477657	4266176	194948	8532352	7513130	88.05	1019222	11.95	694103_81_PRJEB72524_ERR14205069.err
2003	PRJNA531273	SRR8865595	5019381	4755978	5019381	4755978	30264	9511956	7060714	74.23	2451242	25.77	693418_10_PRJNA531273_SRR8865595.err
2004	PRJEB72526		19866818	19401937	19866818	19401937	283462	38803874	33337504	85.91	5466370	14.09	234324_19_PRJEB72526_ERR14225634.err
2006	PRJNA1237248	SRR32733689	43012008	42994683			0	42994683	38155002	88.74	4839681	11.26	234325_341_PRJNA1237248_SRR32733689.err
2008	PRJEB72524		11674976	11109705	11674976	11109705	502084	22219410	19495781	87.74	2723629	12.26	694103_83_PRJEB72524_ERR14204983.err
2009	PRJNA447983	SRR6915172	27377622	26740888	27377622	26740888	78758	53481776	47448528	88.72	6033248	11.28	693749_31_PRJNA447983_SRR6915172.err
2012	PRJNA1237248	SRR32733245	47098655	47078218			0	47078218	41917410	89.04	5160808	10.96	234325_591_PRJNA1237248_SRR32733245.err
2013	PRJNA429097	SRR6456221	24650938	22140377	24650938	22140377	27762	44280754	36406960	82.22	7873794	17.78	693416_55_PRJNA429097_SRR6456221.err
2014	PRJNA1237248	SRR32733310	47687958	47669226			0	47669226	43615292	91.50	4053934	8.50	234325_649_PRJNA1237248_SRR32733310.err
2015	PRJNA447983	SRR6915097	17121245	16888895	17121245	16888895	249282	33777790	30123985	89.18	3653805	10.82	693749_97_PRJNA447983_SRR6915097.err
2016	PRJNA1237248	SRR32733485	61596107	61576249			0	61576249	54179357	87.99	7396892	12.01	234325_655_PRJNA1237248_SRR32733485.err
2017	PRJEB72525		4988826	4792084	4988826	4792084	2058	9584168	8360238	87.23	1223930	12.77	232906_3_PRJEB72525_ERR14205986.err
2018	PRJNA731589	SRR14610576	31024639	30560295	31024639	30560295	576483	61120590	54085775	88.49	7034815	11.51	693420_141_PRJNA731589_SRR14610576.err
2019	PRJEB72523		34570706	33273204	34570706	33273204	16718	66546408	58009891	87.17	8536517	12.83	234221_79_PRJEB72523_ERR14141103.err
2020	PRJNA763023	SRR16124228	33390220	32959397	33390220	32959397	2716214	65918794	59551759	90.34	6367035	9.66	693415_9_PRJNA763023_SRR16124228.err
2021	PRJNA1237248	SRR32733164	41882845	41866258			0	41866258	37176598	88.80	4689660	11.20	234325_257_PRJNA1237248_SRR32733164.err
2022	PRJNA1237248	SRR32733205	57057354	57035590			0	57035590	49803396	87.32	7232194	12.68	234325_755_PRJNA1237248_SRR32733205.err
2023	PRJNA429097	SRR6456219	18664319	17691012	18664319	17691012	13302	35382024	31934651	90.26	3447373	9.74	693416_49_PRJNA429097_SRR6456219.err
2024	PRJNA1237248	SRR32732891	41180038	41164240			0	41164240	37068859	90.05	4095381	9.95	234325_47_PRJNA1237248_SRR32732891.err
2025	PRJNA1237248	SRR32733162	39559333	39541943			0	39541943	35071724	88.69	4470219	11.31	234325_87_PRJNA1237248_SRR32733162.err
2027	PRJNA763023	SRR16124207	29631208	29053353	29631208	29053353	2121524	58106706	52883443	91.01	5223263	8.99	693415_165_PRJNA763023_SRR16124207.err
2028	PRJEB72526		6600158	6008647	6600158	6008647	18106	12017294	11030345	91.79	986949	8.21	234324_34_PRJEB72526_ERR14218610.err
2029	PRJNA763023	SRR16124197	43143960	42282355	43143960	42282355	3087864	84564710	78298406	92.59	6266304	7.41	693415_96_PRJNA763023_SRR16124197.err
2030	PRJNA1237248	SRR32733649	47444882	47424102			0	47424102	42525835	89.67	4898267	10.33	234325_678_PRJNA1237248_SRR32733649.err
2032	PRJEB72523		9112146	8819935	9112146	8819935	15432	17639870	15700531	89.01	1939339	10.99	234221_107_PRJEB72523_ERR14129581.err
2033	PRJNA1167935	SRR30861088	47427632	45212260	47427632	45212260	20820	90424520	79493083	87.91	10931437	12.09	234217_42_PRJNA1167935_SRR30861088.err
2034	PRJNA447983	SRR6915228	13695875	13378326	13695875	13378326	27574	26756652	23247805	86.89	3508847	13.11	693749_87_PRJNA447983_SRR6915228.err
2035	PRJEB59350		53139861	49376598	53139861	49376598	76782	98753196	85232192	86.31	13521004	13.69	234322_22_PRJEB59350_ERR10820999.err
2036	PRJEB72526		1695882	1673669	1695882	1673669	75516	3347338	2598135	77.62	749203	22.38	234324_40_PRJEB72526_ERR14225582.err
2037	PRJNA1237248	SRR32733261	43269800	43251538			0						234325_816_PRJNA1237248_SRR32733261.err
2038	PRJEB59350		48781424	41725621	48781424	41725621	69520	83451242	62391127	74.76	21060115	25.24	234322_107_PRJEB59350_ERR10825147.err
2039	PRJNA1237248	SRR32733280	55349674	55326311			0	55326311	48296287	87.29	7030024	12.71	234325_404_PRJNA1237248_SRR32733280.err
2040	PRJNA1237248	SRR32733083	45098682	45078174			0	45078174	40934276	90.81	4143898	9.19	234325_285_PRJNA1237248_SRR32733083.err
2041	PRJNA1237248	SRR32733065	29632941	29619904			0	29619904	26565577	89.69	3054327	10.31	234325_559_PRJNA1237248_SRR32733065.err
2042	PRJNA429097	SRR6456227	19721105	18515099	19721105	18515099	81824	37030198	32606882	88.05	4423316	11.95	693416_63_PRJNA429097_SRR6456227.err
2043	PRJNA1237248	SRR32732843	43315446	43299071			0	43299071	39180535	90.49	4118536	9.51	234325_167_PRJNA1237248_SRR32732843.err
2044	PRJNA731589	SRR14610661	36840900	35889808	36840900	35889808	162312	71779616	66722122	92.95	5057494	7.05	693420_72_PRJNA731589_SRR14610661.err
2045	PRJNA1237248	SRR32733420	38931308	38915691			0	38915691	33836865	86.95	5078826	13.05	234325_700_PRJNA1237248_SRR32733420.err
2046	PRJNA429097	SRR6451678	18453777	16874492	18453777	16874492	14524	33748984	29879673	88.54	3869311	11.46	693416_85_PRJNA429097_SRR6451678.err
2047	PRJEB72523		16373582	15754483	16373582	15754483	6230	31508966	27714715	87.96	3794251	12.04	234221_117_PRJEB72523_ERR14135002.err
2048	PRJNA1237248	SRR32732967	44971124	44953029			0	44953029	40328706	89.71	4624323	10.29	234325_38_PRJNA1237248_SRR32732967.err
2049	PRJNA1237248	SRR32733495	58849586	58822607			0	58822607	53062057	90.21	5760550	9.79	234325_593_PRJNA1237248_SRR32733495.err
2050	PRJEB72524		12852909	12257513	12852909	12257513	562188	24515026	21802948	88.94	2712078	11.06	694103_25_PRJEB72524_ERR14204641.err
2052	PRJNA1237248	SRR32733046	36583139	36568309			0	36568309	32832670	89.78	3735639	10.22	234325_102_PRJNA1237248_SRR32733046.err
2053	PRJEB72524		6087417	5797276	6087417	5797276	278030	11594552	10287979	88.73	1306573	11.27	694103_69_PRJEB72524_ERR14205073.err
2054	PRJNA763023	SRR16124254	35625707	35095539	35625707	35095539	1689180	70191078	62446507	88.97	7744571	11.03	693415_34_PRJNA763023_SRR16124254.err
2056	PRJNA429097	SRR6456192	18799105	17417302	18799105	17417302	79188	34834604	28007104	80.40	6827500	19.60	693416_23_PRJNA429097_SRR6456192.err
2057	PRJNA731589	SRR14610666	28797525	28258856	28797525	28258856	130614	56517712	51378678	90.91	5139034	9.09	693420_154_PRJNA731589_SRR14610666.err
2058	PRJNA1237248	SRR32733517	45835469	45817587			0	45817587	40479844	88.35	5337743	11.65	234325_444_PRJNA1237248_SRR32733517.err
2059	PRJEB72523		8342186	8087850	8342186	8087850	11248	16175700	14006611	86.59	2169089	13.41	234221_124_PRJEB72523_ERR14129576.err
